Date,focus_expected_inflation,Infl. 12 m suav.,Infl. meses 13-24,Infl. meses 13-24 suav.,bcb_expected_inflation,selic_target,exchange_rate,exchange_rate_var,output,output_potential,output_gap,inflation_target,interval_size,upper_limit,lower_limit,inflation_12m,ano,mes,inflation_target_next,bcb_inflation_deviation,focus_inflation_deviation
2013-05,5.59,5.67,,,5.4,8.0,2.0348428571428574,1.6296573046261642,119.76164,115.35447714071631,4.407162859283687,4.5,,,,6.5,2013,5,4.5,0.9000000000000004,1.0899999999999999
2013-07,5.64,5.67,,,5.533333333333333,8.5,2.2521695652173914,3.6454765615206774,119.51763,114.95645680478113,4.5611731952188705,4.5,,,,6.27,2013,7,4.5,1.0333333333333332,1.1399999999999997
2013-08,6.02,6.1,,,5.666666666666667,9.0,2.342190909090909,3.9970944134851694,119.86465,114.74375466148543,5.120895338514572,4.5,,,,6.09,2013,8,4.5,1.166666666666667,1.5199999999999996
2013-10,6.2,6.25,,,5.733333333333333,9.5,2.1886478260869566,-3.6054329155694287,119.11912,114.29172371289826,4.827396287101735,4.5,,,,5.84,2013,10,4.5,1.2333333333333334,1.7000000000000002
2013-11,6.18,6.11,,,5.666666666666666,10.0,2.29535,4.8752555180983315,119.73626,114.05282079427637,5.68343920572363,4.5,,,,5.77,2013,11,4.5,1.1666666666666659,1.6799999999999995
2014-01,6.01,5.99,,,5.733333333333333,10.5,2.382209090909091,1.565704553206393,117.55918,113.55061181391099,4.008568186089008,4.5,2.0,6.5,2.5,5.59,2014,1,4.5,1.2333333333333334,1.5099999999999996
2014-02,6.12,6.12,,,5.866666666666666,10.75,2.38368,0.061745591372397435,118.04456,113.28795277154958,4.75660722845042,4.5,,,,5.68,2014,2,4.5,1.3666666666666663,1.62
2014-04,6.32,6.09,,,5.966666666666667,11.0,2.23277,-4.011860882393547,116.61769,112.74133669408292,3.8763533059170783,4.5,,,,6.28,2014,4,4.5,1.4666666666666668,1.82
2014-05,6.01,6.01,,,5.933333333333334,11.0,2.2208809523809525,-0.5324797278289939,115.45299,112.45821009557538,2.994779904424618,4.5,,,,6.37,2014,5,4.5,1.4333333333333336,1.5099999999999998
2014-07,5.94,5.96,,,5.866666666666667,11.0,2.2246478260869567,-0.4841117936292383,114.98212,111.87462585961559,3.1074941403844036,4.5,,,,6.5,2014,7,4.5,1.3666666666666671,1.4400000000000004
2014-09,6.17,6.23,,,5.8,11.0,2.332868181818182,2.8588533322033927,115.60571,111.27119572570042,4.334514274299579,4.5,,,,6.75,2014,9,4.5,1.2999999999999998,1.67
